year,carrier,tech,parameter,value,unit,source
2050,gas,backpressure,capacity_cost,650,,REMod-D
2050,electricity,electricity_heatpump,capacity_cost,1050,,REMod-D
2050,gas,gas_heatpump,capacity_cost,800,,REMod-D
2050,gas,boiler_decentral,capacity_cost,670,,REMod-D
2050,electricity,electricity_heatpump,efficiency,4,per unit,REMod-D
2050,gas,gas_heatpump,efficiency,2,per unit,REMod-D
2050,gas,boiler_decentral,efficiency,0.96,per unit,REMod-D
2050,gas,backpressure,fom,3,,REMod-D
2050,electricity,electricity_heatpump,fom,1.5,,REMod-D
2050,gas,gas_heatpump,fom,1.5,,REMod-D
2050,gas,boiler_decentral,fom,1,,REMod-D
2050,gas,backpressure,thermal_efficiency,0.52,per unit,REMod-D
2050,gas,backpressure,electrical_efficiency,0.33,per unit,REMod-D
2050,gas,backpressure,lifetime,25,year,REMod-D
2050,electricity,electricity_heatpump,lifetime,20,year,REMod-D
2050,gas,gas_heatpump,lifetime,20,year,REMod-D
2050,gas,boiler_decentral,lifetime,20,year,REMod-D
