year,parameter,carrier,tech,value,unit,source
2015,efficiency,biomass,ce,0.455,per unit,DIW
2015,efficiency,biomass,st,0.455,per unit,DIW
2015,efficiency,coal,ccgt,0.485,per unit,DIW
2015,efficiency,coal,st,0.39,per unit,DIW
2015,efficiency,gas,ccgt,0.602,per unit,DIW
2015,efficiency,gas,ocgt,0.391,per unit,DIW
2015,efficiency,gas,st,0.411,per unit,DIW
2015,efficiency,hydro,phs,0.75,per unit+ADs- roundtrip,DIW
2015,efficiency,hydro,ror,0.9,per unit,DIW
2015,efficiency,hydro,rsv,0.9,per unit,DIW
2015,efficiency,lignite,st,0.434,per unit,DIW
2015,efficiency,oil,ocgt,0.391,per unit,DIW
2015,efficiency,uranium,st,0.332,per unit,DIW
2015,efficiency,waste,chp,0.233,per unit,ENS
2015,vom,biomass,ce,3.0,2010 EUR/MWh,Own assumption
2015,vom,biomass,st,3.0,2010 EUR/MWh,Own assumption
2015,vom,coal,ccgt,6.0,2010 EUR/MWh,DIW
2015,vom,coal,st,6.0,2010 EUR/MWh,DIW
2015,vom,gas,ccgt,4.0,2010 EUR/MWh,DIW
2015,vom,gas,ocgt,3.0,2010 EUR/MWh,DIW
2015,vom,gas,st,3.0,2010 EUR/MWh,DIW
2015,vom,lignite,st,7.0,2010 EUR/MWh,DIW
2015,vom,oil,ocgt,3.0,2010 EUR/MWh,DIW
2015,vom,uranium,st,8.5,2010 EUR/MWh,DIW
2015,vom,waste,chp,24.8,EUR/MWh,ENS
2030,capacity+AF8-cost,biomass,ce,2209.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,biomass,st,2209.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,biomass,st,2209.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,coal,ccgt,1800.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,coal,st,1200.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,gas,ccgt,800.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,gas,ocgt,400.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,gas,st,400.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,hydro,phs,2000.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,hydro,ror,3000.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,hydro,rsv,2000.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,lignite,st,1500.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,oil,ocgt,400.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,solar,pv,600.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,uranium,st,6000.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,wind,wind+AF8-offshore,2506.0,2010 EUR/kW,DIW
2030,capacity+AF8-cost,wind,wind+AF8-onshore,1182.0,2010 EUR/kW,DIW
2030,efficiency,biomass,ce,0.468,per unit,DIW
2030,efficiency,biomass,st,0.468,per unit,DIW
2030,efficiency,coal,ccgt,0.499,per unit,DIW
2030,efficiency,coal,st,0.39,per unit,DIW
2030,efficiency,gas,ccgt,0.61,per unit,DIW
2030,efficiency,gas,ocgt,0.393,per unit,DIW
2030,efficiency,gas,st,0.413,per unit,DIW
2030,efficiency,hydro,phs,0.75,per unit+ADs-roundtrip,DIW
2030,efficiency,hydro,ror,0.9,per unit,DIW
2030,efficiency,hydro,rsv,0.9,per unit,DIW
2030,efficiency,lignite,st,0.447,per unit,DIW
2030,efficiency,oil,ocgt,0.393,per unit,DIW
2030,efficiency,uranium,st,0.337,per unit,DIW
2030,efficiency,waste,chp,0.25,per unit,Own assumption
2030,fom,biomass,ce,100.0,2010 EUR/kw/year,DIW
2030,fom,biomass,st,100.0,2010 EUR/kw/year,DIW
2030,fom,coal,ccgt,60.0,2010 EUR/kw/year,DIW
2030,fom,coal,st,30.0,2010 EUR/kw/year,DIW
2030,fom,gas,ccgt,20.0,2010 EUR/kw/year,DIW
2030,fom,gas,ocgt,15.0,2010 EUR/kw/year,DIW
2030,fom,gas,st,15.0,2010 EUR/kw/year,DIW
2030,fom,lignite,st,30.0,2010 EUR/kw/year,DIW
2030,fom,oil,st,6.0,2010 EUR/kw/year,DIW
2030,fom,waste,chp,50.0,2010 EUR/kw/year,Own assumption
2030,vom,biomass,ce,3.0,2010 EUR/MWh,Own assumption
2030,vom,biomass,st,3.0,2010 EUR/MWh,Own assumption
2030,vom,coal,ccgt,6.0,2010 EUR/MWh,DIW
2030,vom,coal,st,6.0,2010 EUR/MWh,DIW
2030,vom,gas,ccgt,4.0,2010 EUR/MWh,DIW
2030,vom,gas,ocgt,3.0,2010 EUR/MWh,DIW
2030,vom,gas,st,3.0,2010 EUR/MWh,DIW
2030,vom,lignite,boa,7.0,2010 EUR/MWh,DIW
2030,vom,oil,st,3.0,2010 EUR/MWh,DIW
2030,vom,uranium,st,8.5,2010 EUR/MWh,DIW
2030,vom,waste,chp,24.8,EUR/MWh,ENS
2050,capacity+AF8-cost,air,acaes,750.0,2014 Euro/kW,IWES
2050,capacity+AF8-cost,biomass,st,1951.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,coal,st,1300.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,electricity,lithium+AF8-battery,35.0,EUR/kW,IWES
2050,capacity+AF8-cost,gas,ccgt,800.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,gas,ocgt,400.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,hydro,phs,2000.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,hydro,reservoir,2000.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,hydro,ror,3000.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,oil,ocgt,400.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,solar,pv,425.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,wind,wind+AF8-offshore,2093.0,2010 EUR/kW,DIW
2050,capacity+AF8-cost,wind,wind+AF8-onshore,1075.0,2010 EUR/kW,DIW
2050,capacity+AF8-ratio,air,acaes,0.2,fraction,IWES
2050,capacity+AF8-ratio,electricity,lithium+AF8-battery,0.2,fraction,IWES
2050,efficiency,air,acaes,0.73,fraction+ADs-roundtrip,IWES
2050,efficiency,biomass,st,0.487,per unit,DIW
2050,efficiency,coal,st,0.45,per unit,DIW
2050,efficiency,electricity,lithium+AF8-battery,0.92,fraction+ADs-roundtrip,IWES
2050,efficiency,gas,cc,0.619,per unit,DIW
2050,efficiency,gas,oc,0.396,per unit,DIW
2050,efficiency,hydro,phs,0.75,per unit+ADs-roundtrip,DIW
2050,efficiency,hydro,ror,0.9,per unit,DIW
2050,efficiency,hydro,rsv,0.9,per unit,DIW
2050,efficiency,oil,ocgt,0.396,per unit,DIW
2050,efficiency,solar,pv,1.0,per unit,DIW
2050,efficiency,wind,wind+AF8-offshore,1.0,per unit,DIW
2050,efficiency,wind,wind+AF8-onshore,1.0,per unit,DIW
2050,fom,air,acaes,2.0,EUR/kW/year,Own assumption
2050,fom,biomass,biomass,100.0,2010 EUR/kw/year,DIW
2050,fom,coal,st,25.0,2010 EUR/kw/year,DIW
2050,fom,electricity,lithium+AF8-battery,20.0,EUR/kW/year,Own assumption
2050,fom,gas,ccgt,20.0,2010 EUR/kw/year,DIW
2050,fom,gas,ocgt,15.0,2010 EUR/kw/year,DIW
2050,fom,hydro,phs,20.0,2010 EUR/kw/year,DIW
2050,fom,hydro,ror,60.0,2010 EUR/kw/year,DIW
2050,fom,hydro,rsv,20.0,2010 EUR/kw/year,DIW
2050,fom,oil,oc,6.0,2010 EUR/kw/year,DIW
2050,fom,solar,pv,25.0,2010 EUR/kw/year,DIW
2050,fom,wind,wind+AF8-offshore,80.0,2010 EUR/kw/year,DIW
2050,fom,wind,wind+AF8-onshore,35.0,2010 EUR/kw/year,DIW
2050,lifetime,air,acaes,30.0,years,IWES
2050,lifetime,biomass,biomass,30.0,years,DIW
2050,lifetime,coal,st,40.0,years,DIW
2050,lifetime,electricity,lithium+AF8-battery,13.0,years,IWES
2050,lifetime,gas,ccgt,30.0,years,DIW
2050,lifetime,gas,ocgt,30.0,years,DIW
2050,lifetime,hydro,phs,50.0,years,DIW
2050,lifetime,hydro,ror,50.0,years,DIW
2050,lifetime,hydro,rsv,50.0,years,DIW
2050,lifetime,oil,oc,30.0,years,DIW
2050,lifetime,solar,pv,25.0,years,DIW
2050,lifetime,wind,wind+AF8-offshore,25.0,years,DIW
2050,lifetime,wind,wind+AF8-onshore,25.0,years,DIW
2050,storage+AF8-capacity+AF8-cost,air,acaes,40.0,2014 Euro/kWh,IWES
2050,storage+AF8-capacity+AF8-cost,electricity,lithium+AF8-battery,150.0,EUR/kWh,IWES
