year,carrier,tech,parameter,value,unit,source
2050,wind,wind_onshore,capacity_cost,1075,2010 EUR/kW,DIW
2050,hydro,phs,capacity_cost,2000,2010 EUR/kW,DIW
2050,bio,biomass,capacity_cost,1951,2010 EUR/kW,DIW
2050,hydro,reservoir,capacity_cost,2000,2010 EUR/kW,DIW
2050,hydro,ror,capacity_cost,3000,2010 EUR/kW,DIW
2050,solar,csp,capacity_cost,1520,2010 EUR/kW,DIW
2050,gas,ccgt,capacity_cost,800,2010 EUR/kW,DIW
2050,solar,pv,capacity_cost,425,2010 EUR/kW,DIW
2050,geo,geothermal,capacity_cost,2740,2010 EUR/kW,DIW
2050,oil,ocgt,capacity_cost,400,2010 EUR/kW,DIW
2050,wind,wind_offshore,capacity_cost,2093,2010 EUR/kW,DIW
2050,coal,stsc,capacity_cost,1300,2010 EUR/kW,DIW
2050,gas,ocgt,capacity_cost,400,2010 EUR/kW,DIW
2050,gas,backpressure,capacity_cost,650,,REMod-D
2050,gas,extraction,capacity_cost,1400,,REMod-D
2050,electricity,electricity_heatpump,capacity_cost,1050,,REMod-D
2050,gas,gas_heatpump,capacity_cost,800,,REMod-D
2050,gas,boiler_central,capacity_cost,90,,REMod-D
2050,gas,boiler_decentral,capacity_cost,670,,REMod-D
2050,geo,geothermal,efficiency,0.249,per unit,DIW
2050,gas,ocgt,efficiency,0.396,per unit,DIW
2050,hydro,ror,efficiency,0.9,per unit,DIW
2050,hydro,reservoir,efficiency,0.9,per unit,DIW
2050,oil,ocgt,efficiency,0.396,per unit,DIW
2050,coal,stsc,efficiency,0.45,per unit,DIW
2050,gas,ccgt,efficiency,0.619,per unit,DIW
2050,hydro,phs,efficiency,0.75,per unit,DIW
2050,wind,wind_onshore,efficiency,1,per unit,DIW
2050,bio,biomass,efficiency,0.487,per unit,DIW
2050,wind,wind_offshore,efficiency,1,per unit,DIW
2050,solar,pv,efficiency,1,per unit,DIW
2050,solar,csp,efficiency,1,per unit,DIW
2050,electricity,electricity_heatpump,efficiency,4,per unit,REMod-D
2050,gas,gas_heatpump,efficiency,2,per unit,REMod-D
2050,gas,boiler_central,efficiency,0.98,per unit,REMod-D
2050,gas,boiler_decentral,efficiency,0.96,per unit,REMod-D
2050,bio,biomass,fom,10,2010 EUR/kw/year,DIW
2050,wind,wind_onshore,fom,3.5,2010 EUR/kw/year,DIW
2050,oil,ocgt,fom,6,2010 EUR/kw/year,DIW
2050,gas,ocgt,fom,2,2010 EUR/kw/year,DIW
2050,wind,wind_offshore,fom,8,2010 EUR/kw/year,DIW
2050,gas,ccgt,fom,2,2010 EUR/kw/year,DIW
2050,hydro,ror,fom,6,2010 EUR/kw/year,DIW
2050,solar,pv,fom,2.5,2010 EUR/kw/year,DIW
2050,geo,geothermal,fom,8,2010 EUR/kw/year,DIW
2050,hydro,reservoir,fom,2,2010 EUR/kw/year,DIW
2050,solar,csp,fom,3,2010 EUR/kw/year,DIW
2050,coal,stsc,fom,2.5,2010 EUR/kw/year,DIW
2050,hydro,phs,fom,2,2010 EUR/kw/year,DIW
2050,gas,backpressure,fom,3,,REMod-D
2050,gas,extraction,fom,3,,REMod-D
2050,electricity,electricity_heatpump,fom,1.5,,REMod-D
2050,gas,gas_heatpump,fom,1.5,,REMod-D
2050,gas,boiler_central,fom,1,,REMod-D
2050,gas,boiler_decentral,fom,1,,REMod-D
2050,gas,backpressure,thermal_efficiency,0.52,per unit,REMod-D
2050,gas,backpressure,electrical_efficiency,0.33,per unit,REMod-D
2050,gas,backpressure,thermal_efficiency,0.55,per unit,REMod-D
2050,gas,backpressure,electrical_efficiency,0.35,per unit,REMod-D
2050,gas,backpressure,condesing_efficiency,0.65,per unit,REMod-D
2050,hydro,reservoir,lifetime,50,year,DIW
2050,geo,geothermal,lifetime,30,year,DIW
2050,oil,ocgt,lifetime,30,year,DIW
2050,wind,wind_onshore,lifetime,25,year,DIW
2050,hydro,phs,lifetime,50,year,DIW
2050,solar,pv,lifetime,25,year,DIW
2050,solar,csp,lifetime,30,year,DIW
2050,wind,wind_offshore,lifetime,25,year,DIW
2050,gas,ccgt,lifetime,30,year,DIW
2050,bio,biomass,lifetime,30,year,DIW
2050,hydro,ror,lifetime,50,year,DIW
2050,gas,ocgt,lifetime,30,year,DIW
2050,coal,stsc,lifetime,40,year,DIW
2050,gas,backpressure,lifetime,25,year,REMod-D
2050,gas,extraction,lifetime,24,year,REMod-D
2050,electricity,electricity_heatpump,lifetime,20,year,REMod-D
2050,gas,gas_heatpump,lifetime,20,year,REMod-D
2050,gas,boiler_central,lifetime,20,year,REMod-D
2050,gas,boiler_decentral,lifetime,20,year,REMod-D
