year,carrier,tech,parameter,value,unit,source
2050,lithium,battery,capacity_cost,310,EUR/kW,Brown
2050,lithium,battery,storage_capacity_cost,144.6,EUR/kWh,Brown
2050,lithium,battery,lifetime,15,years,Brown
2050,lithium,battery,fom,2,EUR/kW/year,Brown
2050,lithium,battery,efficiency,0.9,fraction,Brown
2050,lithium,battery,capacity_ratio,0.2,fraction,Brown
2050,lithium,battery,loss_rate,0,fraction,Brown
2050,heat,hotwatertank_decentral,capacity_cost,0,EUR/kW,
2050,heat,hotwatertank_decentral,storage_capacity_cost,25,EUR/kWh,
2050,heat,hotwatertank_decentral,lifetime,30,years,
2050,heat,hotwatertank_decentral,fom,1,EUR/kW/year,
2050,heat,hotwatertank_decentral,efficiency,0.9,fraction,
2050,heat,hotwatertank_decentral,capacity_ratio,0.1,fraction,
2050,heat,hotwatertank_decentral,loss_rate,0,fraction,
